_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
10502,2546 Kipling Avenue,SB,,51,"{'type': 'Point', 'coordinates': (-79.583516, 43.745977)}",30,Weekdays from 7 AM - 9 PM,57,Kipling Ave SB ,50,2019-04-11T05:00:00,56,1.0
10503,51 Kingsview Boulevard,EB,,31,"{'type': 'Point', 'coordinates': (-79.554847, 43.698055)}",20,Weekdays from 7 AM - 9 PM,51,Kingsview Blvd EB ,30,2019-01-03T14:00:00,36,1.0
10504,"1, Promenade Circle",,2020-09-23T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.450379788118, 43.80822462182)}",30,Weekdays from 7 AM - 9 PM,61902,D - ,40,2023-01-24T00:00:00,46,
10505,Promenade Circle,,,31,"{'type': 'Point', 'coordinates': (-79.450789057049, 43.805702646614)}",20,Weekdays from 7 AM - 9 PM,2837,,30,2022-02-06T00:00:00,36,
10506,7 Hullen Crescent,SB,2020-04-04T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.619998, 43.729637)}",30,Weekdays from 7 AM - 9 PM,268,Humberwood Blvd SB ,40,2017-09-01T09:00:00,46,1.0
10507,850 Humberwood Boulevard ,NB,2018-12-03T15:00:00,41,"{'type': 'Point', 'coordinates': (-79.6200688334081, 43.7289179121628)}",30,Weekdays from 7 AM - 9 PM,286,Humberwood Blvd NB ,40,2016-11-30T11:00:00,46,1.0
10508,15 Jamestown Crescent,EB,,41,"{'type': 'Point', 'coordinates': (-79.58281, 43.733546)}",5,Weekdays from 7 AM - 9 PM,2085,John Garland Blvd EB ,40,2020-03-17T09:00:00,46,1.0
10509,2580 Kipling Avenue,EB,,31,"{'type': 'Point', 'coordinates': (-79.586886, 43.746431)}",20,Weekdays from 7 AM - 9 PM,65,Mt. Olive Dr EB ,30,2019-04-03T09:00:00,36,1.0
10510,47 Silverstone Drive,NB,,31,"{'type': 'Point', 'coordinates': (-79.58787, 43.744667)}",20,Weekdays from 7 AM - 9 PM,182,Silverstone Dr NB ,30,2019-04-03T09:00:00,36,1.0
10511,68 Silverstone Drive,SB,,31,"{'type': 'Point', 'coordinates': (-79.588289, 43.74712300000001)}",20,Weekdays from 7 AM - 9 PM,300,Silverston Dr SB ,30,2019-04-03T09:00:00,36,1.0
