TrialNumber,Parameters,Sensor Latitude Accuracy,Sensor Longitude Accuracy
1,0--0,-0.084094,0.016367
2,0--5,17.000101,19.751403
3,0--10,50.498157,36.376358
4,0--15,45.653744,16.416676
5,0--20,41.764433,23.848692
6,0--25,43.670556,24.921074
7,0--30,43.171919,24.362026
8,0--35,47.964668,31.715840
9,0--40,43.600811,25.587235
10,0--45,45.319313,28.436170
11,0--50,44.820008,28.006159
12,0--55,53.019175,39.090520
13,0--60,48.198740,33.207553
14,0--65,57.482993,40.712353
15,0--70,54.873500,37.223534
16,0--75,50.276925,36.023291
17,0--80,44.448434,29.219697
18,0--85,63.398986,44.628217
19,0--90,53.258362,36.396577
20,0--95,67.448866,50.777599
21,0--100,44.314711,29.193757
22,0--105,55.27067,38.64181
23,0--110,66.722612,48.841863
24,0--115,54.209681,38.267532
25,0--120,77.335380,61.461973
26,0--125,75.211257,58.390825
27,0--130,75.037401,57.748012
28,0--135,66.257491,47.714923
29,0--140,74.251724,60.167504
30,0--145,77.535111,61.528561
31,0--150,38.898424,23.416774
32,0--155,73.466022,57.426007
33,0--160,76.119263,61.946726
34,0--165,77.904101,61.560486
35,0--170,77.222862,62.481780
36,0--175,78.020965,61.432925
37,0--180,76.446739,63.841677
38,0--185,76.804224,62.788674
39,0--190,78.810959,60.814654
40,0--195,78.634428,61.481641
41,5--0,0.056635,-0.423163
42,5--5,42.121908,21.269129
43,5--10,46.166856,29.894296
44,5--15,47.214730,32.536146
45,5--20,57.974365,42.104260
46,5--25,59.056716,41.468304
47,5--30,68.331901,50.642154
48,5--35,77.622387,60.066379
49,5--40,37.486579,22.458148
50,5--45,77.087888,60.231073
51,5--50,78.961202,61.599676
52,5--55,77.724624,62.502051
53,5--60,78.395838,62.702985
54,5--65,79.004309,61.660005
55,5--70,78.113381,62.070689
56,5--75,79.955879,62.723469
57,5--80,37.302316,22.731956
58,5--85,78.831129,61.799065
59,5--90,78.796013,60.926956
60,5--95,78.982750,61.208709
61,5--100,78.945368,61.379709
62,5--105,96.437672,97.098798
63,5--110,95.374667,93.079046
64,5--115,79.038154,61.665231
65,5--120,78.974216,61.526073
66,5--125,79.169459,62.374993
67,5--130,96.993808,97.156367
68,5--135,92.978351,91.650270
69,5--140,95.162618,95.149027
70,5--145,78.667773,61.516757
71,5--150,97.018309,96.885381
72,5--155,79.193269,61.580473
73,5--160,96.995746,96.968178
74,5--165,80.564145,64.778625
75,5--170,79.149433,62.287971
76,5--175,96.678836,97.601333
77,5--180,78.905117,60.997816
78,5--185,78.995329,62.276705
79,5--190,96.890208,97.835137
80,5--195,78.614963,62.222675
81,10--0,-0.142194,-0.030663
82,10--5,52.230377,32.489315
83,10--10,43.219039,25.548219
84,10--15,46.419013,29.396986
85,10--20,52.957016,41.368136
86,10--25,60.101618,46.348317
87,10--30,46.839256,32.023903
88,10--35,60.763222,41.256602
89,10--40,71.642222,58.577433
90,10--45,76.933087,61.408879
91,10--50,71.389673,50.267004
92,10--55,75.256099,59.417010
93,10--60,76.425024,60.596499
94,10--65,76.287351,58.891230
95,10--70,74.445106,60.332986
96,10--75,79.379423,63.817308
97,10--80,78.122149,61.959567
98,10--85,78.613542,60.991696
99,10--90,77.394746,61.111336
100,10--95,37.953527,22.565961
101,10--100,76.712546,63.791787
102,10--105,79.093716,61.704052
103,10--110,78.633199,61.666042
104,10--115,79.253117,61.482436
105,10--120,81.102171,67.467349
106,10--125,79.219025,61.503147
107,10--130,37.514437,22.574778
108,10--135,80.036178,65.798713
109,10--140,87.678979,76.083085
110,10--145,86.140902,82.518538
111,10--150,79.414855,61.946303
112,10--155,79.403630,61.562434
113,10--160,78.929035,61.148789
114,10--165,82.739069,68.703754
115,10--170,78.772173,61.193164
116,10--175,82.318609,68.965871
117,10--180,87.837890,79.792191
118,10--185,96.848327,97.688154
119,10--190,85.580505,83.368438
120,10--195,79.071340,61.926473
121,15--0,-0.040472,-0.015491
122,15--5,52.435707,36.840713
123,15--10,40.345283,22.030661
124,15--15,40.549124,21.371174
125,15--20,43.685303,25.997226
126,15--25,48.703007,33.058615
127,15--30,49.050187,35.009012
128,15--35,60.679181,45.854766
129,15--40,67.708190,50.599265
130,15--45,54.710973,38.120461
131,15--50,70.205418,52.504645
132,15--55,42.840826,27.527172
133,15--60,72.006630,54.020631
134,15--65,74.869573,58.293826
135,15--70,62.277367,43.573959
136,15--75,76.926722,60.980707
137,15--80,76.207897,62.954589
138,15--85,77.996936,61.161167
139,15--90,76.351921,61.586657
140,15--95,77.392922,61.305792
141,15--100,78.740582,61.761825
142,15--105,76.889865,62.807767
143,15--110,77.484870,73.416823
144,15--115,78.055854,61.520109
145,15--120,78.943751,61.901824
146,15--125,77.992306,62.607629
