TrialNumber,Parameters,Sensor Latitude Accuracy,Sensor Longitude Accuracy
1,0--0,-0.534296,0.415226
2,0--5,21.267371,24.030705
3,0--10,36.036449,32.245401
4,0--15,45.172569,25.910443
5,0--20,41.913881,21.718229
6,0--25,41.502227,22.899045
7,0--30,48.174437,42.084019
8,0--35,46.468964,29.846538
9,0--40,43.957839,27.240625
10,0--45,53.660269,37.661068
11,0--50,57.343840,40.478576
12,0--55,54.525607,37.359079
13,0--60,55.999854,39.652315
14,0--65,57.468215,42.814080
15,0--70,56.382856,40.380481
16,0--75,63.949972,45.903611
17,0--80,50.358370,34.694617
18,0--85,66.403493,52.202670
19,0--90,46.590729,31.706586
20,0--95,65.043598,46.547879
21,0--100,44.436917,29.286552
22,0--105,70.766643,48.185971
23,0--110,71.255669,53.530730
24,0--115,59.857205,42.003620
25,0--120,70.598223,51.947285
26,0--125,75.932538,60.279500
27,0--130,76.596800,62.585958
28,0--135,64.783372,47.009635
29,0--140,75.614497,62.155134
30,0--145,75.719366,63.033980
31,0--150,73.922357,59.016033
32,0--155,38.537549,23.243574
33,0--160,78.827007,60.906409
34,0--165,78.345263,61.130496
35,0--170,78.161669,61.542851
36,0--175,75.902136,59.420083
37,0--180,77.256758,62.082547
38,0--185,77.970332,62.314457
39,0--190,77.446892,61.592428
40,0--195,78.025563,62.515432
41,0--200,77.466115,62.605349
42,0--205,78.789836,61.159860
43,0--210,78.434993,62.069254
44,0--215,77.606714,56.643679
45,0--220,78.650818,61.802519
46,0--225,78.107034,62.772334
47,0--230,79.148538,61.406162
48,0--235,78.623689,61.884734
49,0--240,78.249311,62.803132
50,0--245,37.786403,22.762238
51,0--250,80.809806,62.954642
52,0--255,95.763019,93.059481
53,0--260,93.780095,94.152079
54,0--265,79.225907,62.180536
55,0--270,78.593654,62.172289
56,0--275,96.277535,96.741560
57,0--280,94.343508,87.813216
58,0--285,79.079769,62.174256
59,0--290,79.286535,61.626987
60,0--295,78.844518,61.635086
61,0--300,79.420869,60.544437
62,0--305,79.595217,62.451114
63,0--310,81.075537,70.615980
64,0--315,79.116391,61.380441
65,0--320,82.970746,69.817286
66,0--325,78.888866,61.882461
67,0--330,79.034205,61.621486
68,0--335,95.513073,90.948668
69,0--340,78.621001,61.783163
70,0--345,79.504355,62.339747
71,0--350,78.908184,61.564586
72,0--355,81.060619,65.643507
73,0--360,79.073416,61.520512
74,0--365,96.552868,97.629264
75,0--370,96.949587,95.887688
76,0--375,82.965097,67.597470
77,0--380,94.828116,91.899279
78,0--385,95.577213,93.451978
79,0--390,79.392048,64.284396
80,0--395,79.202768,61.786316
81,0--400,78.856553,61.726390
82,0--405,78.908243,61.454335
83,0--410,96.210839,96.544690
84,0--415,78.68459,61.70488
85,0--420,96.408482,96.719096
86,0--425,81.775720,63.700041
87,0--430,96.645256,97.757017
88,0--435,78.994473,61.492491
89,0--440,96.370337,94.424072
90,0--445,89.559718,78.716594
91,0--450,97.016501,96.609404
92,0--455,96.957989,97.700515
93,0--460,95.034373,91.616785
94,0--465,85.849116,72.066909
95,0--470,95.974174,95.484508
96,0--475,79.034303,61.302144
97,0--480,79.033878,61.758122
98,0--485,78.993000,61.755667
99,0--490,79.365286,62.491033
100,0--495,79.127307,61.937366
101,5--0,-0.127041,-0.109777
102,5--5,41.736103,22.520553
103,5--10,42.019822,25.338155
104,5--15,66.068644,48.775595
105,5--20,51.661817,34.401755
106,5--25,75.677887,60.999929
107,5--30,77.398861,61.655187
108,5--35,76.401096,63.735534
109,5--40,79.475358,66.804993
110,5--45,77.650110,62.199382
111,5--50,77.119152,60.367203
112,5--55,78.800605,62.634212
113,5--60,78.412503,61.331625
114,5--65,78.881490,61.813491
115,5--70,79.865599,60.731304
116,5--75,78.384767,62.264336
117,5--80,80.685064,65.818093
118,5--85,79.244386,60.819667
119,5--90,78.853443,62.603706
120,5--95,94.914999,92.647289
121,5--100,78.253005,61.112213
122,5--105,79.622566,61.793951
123,5--110,79.307550,60.636047
124,5--115,78.888900,61.121992
125,5--120,79.166791,61.708590
126,5--125,89.198934,86.854218
127,5--130,95.371038,95.192151
128,5--135,96.676543,97.118808
129,5--140,96.577459,95.169788
130,5--145,96.547481,96.636553
131,5--150,96.997816,97.658242
132,5--155,96.148364,97.697953
133,5--160,96.951821,97.213054
134,5--165,96.122890,97.389491
135,5--170,96.240000,97.866166
136,5--175,96.671773,96.702571
137,5--180,96.818873,96.411192
138,5--185,79.210453,61.702586
139,5--190,79.313752,62.014909
140,5--195,96.681733,97.584290
141,5--200,96.543613,97.371673
142,5--205,78.723119,61.610872
143,5--210,96.616124,96.760108
144,5--215,96.409271,97.250798
145,5--220,96.532229,96.559506
146,5--225,95.978788,96.179055
147,5--230,96.699141,97.880377
148,5--235,79.425253,61.745672
149,5--240,78.665883,61.429728
150,5--245,96.624484,97.788675
151,5--250,37.863165,22.766279
152,5--255,96.858181,97.500386
153,5--260,96.204352,97.261324
154,5--265,78.850753,61.430304
155,5--270,96.987663,97.512866
156,5--275,79.188570,62.195301
157,5--280,96.728683,97.100991
158,5--285,96.093901,96.926918
159,5--290,96.879987,97.108691
160,5--295,94.475683,97.864495
161,5--300,95.619482,97.547064
162,5--305,96.916429,97.427602
163,5--310,96.116791,97.100708
164,5--315,95.637951,96.471799
165,5--320,96.951803,97.007212
166,5--325,97.059339,96.021143
167,5--330,95.974956,95.011991
168,5--335,96.571279,97.071585
169,5--340,79.237035,61.854378
170,5--345,96.006290,97.819803
171,5--350,96.469603,97.224810
172,5--355,96.965083,97.610347
173,5--360,97.008477,97.780243
174,5--365,79.349657,62.264479
175,5--370,97.001655,97.462973
176,5--375,95.736957,97.604191
177,5--380,96.871198,96.141067
178,5--385,79.259748,61.197704
179,5--390,96.728131,97.482151
180,5--395,95.099103,97.693508
181,5--400,96.743501,97.249974
182,5--405,97.124524,97.346130
183,5--410,96.702979,97.703228
184,5--415,96.902623,96.962908
185,5--420,96.731512,97.655692
186,5--425,96.472939,97.642933
187,5--430,96.824936,95.899945
188,5--435,78.749630,61.007072
189,5--440,79.163917,61.301784
190,5--445,96.692952,97.625151
191,5--450,78.808765,62.088656
192,5--455,79.296069,62.132562
193,5--460,96.768565,97.874810
194,5--465,96.979769,97.634164
195,5--470,96.283020,97.207585
196,5--475,96.755505,97.711845
197,5--480,96.925198,97.842988
198,5--485,96.904697,97.476509
199,5--490,96.733943,97.571849
200,5--495,96.633109,97.463647
201,10--0,-0.001692,0.003826
202,10--5,46.168778,36.337965
203,10--10,43.235047,24.732915
204,10--15,50.622228,35.300357
205,10--20,49.724828,34.188262
206,10--25,59.601598,44.001169
207,10--30,63.574528,46.647781
208,10--35,62.073126,44.630780
209,10--40,71.246016,55.386873
210,10--45,75.652501,55.770391
211,10--50,75.504370,62.739999
212,10--55,76.182941,59.342337
213,10--60,69.092063,49.438855
214,10--65,74.331646,62.916567
215,10--70,78.032961,64.193855
216,10--75,69.708550,49.078684
217,10--80,78.370957,61.537153
218,10--85,76.52947,59.82543
219,10--90,79.078998,61.452701
220,10--95,78.286446,63.390705
221,10--100,94.543574,90.894271
222,10--105,78.924962,61.396839
223,10--110,78.627388,61.286829
224,10--115,37.640359,22.808372
225,10--120,79.38091,61.08699
226,10--125,37.731678,22.541609
227,10--130,79.151615,61.442962
228,10--135,94.257245,91.950516
229,10--140,78.906018,61.856100
230,10--145,78.728093,61.949923
231,10--150,96.968309,97.319029
232,10--155,96.548574,96.080198
233,10--160,37.651617,22.695041
234,10--165,78.562204,62.520334
235,10--170,81.439661,62.857669
236,10--175,94.110792,91.265873
237,10--180,96.494683,97.368588
238,10--185,96.328583,96.910252
239,10--190,81.094681,65.044444
240,10--195,96.984750,97.598051
241,10--200,80.016988,66.977907
242,10--205,94.546624,90.447005
243,10--210,96.690211,97.339047
244,10--215,96.212250,95.640139
245,10--220,78.976481,61.875523
246,10--225,96.940752,96.574750
247,10--230,96.757697,97.444254
248,10--235,96.695245,97.824999
249,10--240,96.792921,95.467575
250,10--245,97.071267,97.845602
251,10--250,96.841954,97.770876
252,10--255,97.166225,97.924716
253,10--260,96.722382,97.250958
254,10--265,96.522122,98.011399
255,10--270,96.935645,97.531009
256,10--275,78.638464,61.663178
257,10--280,96.366717,97.620482
258,10--285,96.978889,97.824938
259,10--290,85.672978,77.619948
260,10--295,78.991083,61.541359
261,10--300,96.026718,97.295646
262,10--305,78.986447,61.385450
263,10--310,78.955996,62.121878
264,10--315,96.487261,96.920166
265,10--320,97.020263,97.229679
266,10--325,96.812486,97.724247
267,10--330,96.759856,97.721022
268,10--335,95.816108,97.223986
269,10--340,96.512384,97.690507
270,10--345,96.277909,97.336181
271,10--350,96.296399,97.868453
272,10--355,96.52415,97.49333
273,10--360,96.766470,96.869133
274,10--365,96.584718,97.612679
275,10--370,79.065200,61.804957
276,10--375,78.954864,61.974840
277,10--380,96.615363,97.512737
278,10--385,96.910510,97.819548
279,10--390,96.659847,97.385187
280,10--395,96.946285,97.633931
281,10--400,94.961157,92.471939
282,10--405,79.293308,61.696232
283,10--410,96.604405,97.622806
284,10--415,96.651186,97.838208
285,10--420,95.957712,97.740532
286,10--425,96.516667,97.581150
287,10--430,96.907207,97.279376
288,10--435,78.726508,61.491099
289,10--440,78.840968,61.579047
290,10--445,96.749963,96.974674
291,10--450,97.009967,96.837095
292,10--455,79.215990,62.226364
293,10--460,96.969831,97.811969
294,10--465,78.953648,61.633261
295,10--470,96.571238,97.420620
296,10--475,96.770501,97.782278
297,10--480,96.962926,97.461119
298,10--485,79.172322,61.638852
299,10--490,97.031180,97.819704
300,10--495,96.510753,97.665821
301,15--0,-0.610572,-0.325399
302,15--5,28.976112,31.268619
303,15--10,40.761010,21.067143
304,15--15,44.899644,27.184214
305,15--20,46.700633,29.968145
306,15--25,45.005490,28.650905
307,15--30,56.030462,41.192746
308,15--35,48.434192,33.401986
309,15--40,56.492282,39.529994
310,15--45,64.226313,45.806580
311,15--50,61.811600,44.026714
312,15--55,73.888471,60.263665
313,15--60,60.955080,44.054265
314,15--65,72.287631,59.137241
315,15--70,74.107402,57.742611
316,15--75,76.036073,59.812132
317,15--80,76.205381,63.097071
318,15--85,78.377981,61.066434
319,15--90,76.395385,60.634679
320,15--95,77.122060,63.490528
321,15--100,77.919187,62.714885
322,15--105,78.101183,61.546289
323,15--110,77.864235,62.848929
324,15--115,77.558331,63.151539
325,15--120,78.692472,61.768302
326,15--125,78.31260,61.78297
327,15--130,78.033723,63.364292
328,15--135,90.345222,80.425203
329,15--140,37.759904,22.648902
330,15--145,78.259134,61.333558
331,15--150,78.616724,61.808648
332,15--155,79.606177,60.690916
333,15--160,96.371696,93.967483
334,15--165,79.039730,61.670214
335,15--170,79.644167,64.408843
336,15--175,78.694673,61.649902
337,15--180,78.995271,61.912411
338,15--185,79.513737,61.561870
339,15--190,95.275033,92.363665
340,15--195,78.835623,62.044688
341,15--200,79.098714,61.856306
342,15--205,82.896415,68.233517
343,15--210,90.415818,87.290209
344,15--215,82.600629,71.575764
345,15--220,95.582566,94.044796
346,15--225,97.052867,97.444064
347,15--230,79.022119,63.836423
348,15--235,94.366192,92.904850
349,15--240,96.745946,97.081408
350,15--245,96.663397,96.104177
351,15--250,79.075706,61.772719
352,15--255,96.829266,97.097356
353,15--260,96.263950,97.009374
354,15--265,78.968777,61.344067
355,15--270,79.572491,61.580150
356,15--275,79.466639,61.853345
357,15--280,96.358586,94.411527
358,15--285,97.026686,97.341159
359,15--290,93.957661,94.526487
360,15--295,79.044036,62.097691
361,15--300,96.617692,97.595863
362,15--305,96.586173,97.112172
363,15--310,96.740779,97.684951
364,15--315,96.952172,97.132663
365,15--320,96.876990,96.461249
366,15--325,78.672380,61.894832
367,15--330,79.028414,61.927783
368,15--335,96.189201,93.464410
369,15--340,79.200142,62.231405
370,15--345,96.882915,97.861789
371,15--350,95.847539,96.107687
372,15--355,96.996565,97.863227
373,15--360,79.616697,61.477905
374,15--365,96.858925,97.629063
375,15--370,96.645788,97.257959
376,15--375,78.998510,61.801816
377,15--380,97.118000,97.874877
378,15--385,96.865171,97.694068
379,15--390,37.923822,22.773183
380,15--395,97.093804,97.431962
381,15--400,97.042428,97.353040
382,15--405,96.049337,96.122609
383,15--410,96.909229,97.828874
384,15--415,79.058911,61.701772
385,15--420,79.280556,61.290531
386,15--425,95.077433,91.394260
387,15--430,96.869800,97.656528
388,15--435,78.932413,61.465398
389,15--440,78.969771,61.804116
390,15--445,97.027905,97.670455
391,15--450,37.792481,22.549781
392,15--455,37.569529,22.469138
393,15--460,96.877669,97.792614
394,15--465,96.688202,97.128220
395,15--470,96.706735,97.387003
396,15--475,97.091571,97.371408
397,15--480,96.917652,97.384226
398,15--485,37.555151,22.578462
399,15--490,96.247650,97.468926
400,15--495,78.965982,61.801678
401,20--0,-0.616794,-0.125978
402,20--5,29.114905,31.692569
403,20--10,38.848293,10.616020
404,20--15,37.762108,21.250043
405,20--20,44.658053,27.315501
406,20--25,48.933313,31.554587
407,20--30,51.622359,35.311932
408,20--35,47.497706,32.291747
409,20--40,66.196862,51.537107
410,20--45,58.949986,43.801697
411,20--50,50.354287,36.120867
412,20--55,67.863414,50.186965
413,20--60,60.300106,42.149567
414,20--65,45.023065,29.975760
415,20--70,73.549780,53.990292
416,20--75,59.027237,43.108637
417,20--80,73.933125,55.549821
418,20--85,76.082059,62.776423
419,20--90,75.785153,59.316153
420,20--95,39.166030,23.806323
421,20--100,77.275473,60.563654
422,20--105,77.411498,63.766002
423,20--110,77.222452,60.414692
424,20--115,78.227526,61.008179
425,20--120,77.348780,62.762905
426,20--125,79.036169,62.457748
427,20--130,78.210274,62.306773
428,20--135,77.473447,62.850682
429,20--140,78.205669,62.735718
430,20--145,78.564006,61.588118
431,20--150,78.840419,63.483573
432,20--155,77.934068,62.110603
433,20--160,81.138213,79.689460
434,20--165,79.131877,60.844936
435,20--170,78.628344,61.831867
436,20--175,78.983039,62.138978
437,20--180,79.460210,71.086831
438,20--185,78.599792,62.056862
439,20--190,78.531992,62.434497
440,20--195,78.848968,61.476994
441,20--200,79.654878,65.503323
442,20--205,79.412981,60.778727
443,20--210,78.957617,61.505862
444,20--215,79.348492,61.237250
445,20--220,78.845423,61.726249
446,20--225,82.076461,63.265092
447,20--230,82.604950,65.089831
448,20--235,79.117917,61.818172
449,20--240,79.301164,61.216618
450,20--245,79.143050,61.158634
451,20--250,37.827605,22.692336
452,20--255,79.077706,61.137879
453,20--260,88.232622,80.240496
454,20--265,79.745497,62.689678
455,20--270,79.243861,61.608652
456,20--275,79.315409,61.487985
457,20--280,78.706611,61.893132
458,20--285,79.216287,61.240748
459,20--290,79.921625,61.856362
460,20--295,96.117894,96.310583
461,20--300,95.516046,93.628403
462,20--305,79.371943,61.056245
463,20--310,96.150316,94.966541
464,20--315,79.393486,62.210240
465,20--320,96.603940,97.642063
466,20--325,79.214582,61.513016
467,20--330,96.650227,95.555070
468,20--335,79.033024,61.705346
469,20--340,96.053209,97.131660
470,20--345,96.076044,96.163427
471,20--350,95.919027,93.736368
472,20--355,78.947162,61.213629
473,20--360,96.365421,97.436859
474,20--365,96.942051,95.574067
475,20--370,37.610158,22.609814
476,20--375,96.984927,97.336735
477,20--380,96.760824,96.884395
478,20--385,79.033673,62.151619
479,20--390,79.240148,61.981733
480,20--395,96.691743,97.587532
481,20--400,96.777764,97.662033
482,20--405,96.907976,97.749787
483,20--410,96.938472,96.814072
484,20--415,96.393256,96.776065
485,20--420,79.094467,61.642702
486,20--425,92.310135,88.239782
487,20--430,96.952332,96.875973
488,20--435,83.055644,69.556678
489,20--440,79.029718,61.695619
490,20--445,82.500278,69.526198
491,20--450,96.909342,97.901228
492,20--455,96.724143,97.533282
493,20--460,37.808491,22.505057
494,20--465,78.864911,61.827324
495,20--470,96.671425,97.510530
496,20--475,96.440582,96.746057
497,20--480,96.969104,97.412452
498,20--485,96.927594,97.843472
499,20--490,96.926594,97.696747
500,20--495,96.638412,96.762242
501,25--0,-0.18175,-0.09381
502,25--5,16.098984,22.573336
503,25--10,39.316851,19.129583
504,25--15,41.232754,23.026437
505,25--20,44.284530,39.416185
506,25--25,44.366208,27.014867
507,25--30,44.996495,28.309478
508,25--35,54.294073,38.874293
509,25--40,56.435126,41.033693
510,25--45,55.314622,40.047700
511,25--50,52.556984,40.343990
512,25--55,55.917099,39.844330
513,25--60,56.739996,39.031000
514,25--65,51.742370,36.438721
515,25--70,60.850968,44.099322
516,25--75,71.699424,55.453867
517,25--80,59.619855,42.029202
518,25--85,69.066332,52.705607
519,25--90,71.472310,57.524984
520,25--95,73.070923,57.344051
521,25--100,61.122554,43.866023
522,25--105,74.870479,54.521840
523,25--110,77.988466,60.723113
524,25--115,73.050123,56.117781
525,25--120,76.027918,60.843406
526,25--125,74.656051,57.956496
527,25--130,77.415782,60.325811
528,25--135,70.236782,54.117063
529,25--140,77.173342,63.312864
530,25--145,77.868272,61.725167
