TrialNumber,Parameters,Sensor Latitude Accuracy,Sensor Longitude Accuracy,R2
1,0--0,0.012769,-0.003692,-4.518398698779103
2,0--5,52.013193,23.700103,-0.3532732805861757
3,0--10,38.124057,18.626289,-0.038526105237206565
4,0--15,38.132025,19.155129,-0.00520598057302768
5,0--20,40.734300,24.246577,0.03601332766509113
6,0--25,40.701707,23.991378,0.04971817548632773
7,0--30,36.967517,22.374482,0.03635817557949195
8,0--35,42.058052,24.860256,0.09690146179718395
9,0--40,40.596110,23.098941,0.08519086883038207
10,0--45,43.937052,26.907875,0.11673282698428189
11,0--50,44.389961,26.542369,0.1133233475690833
12,0--55,47.189092,27.818312,0.12333740315541969
13,0--60,46.093786,27.921204,0.13004388620836005
14,0--65,44.577700,24.171867,0.11385304183530143
15,0--70,45.006112,24.707298,0.11598413726499363
16,0--75,48.840223,27.658765,0.14761436401183492
17,0--80,48.217636,26.535155,0.14057361298476
18,0--85,48.894621,28.909182,0.15047799730435973
19,0--90,47.734856,26.896649,0.14041789882720007
20,0--95,47.460583,25.689336,0.14214328502536988
21,5--0,0.015571,0.020995,-4.517724146392051
22,5--5,45.842217,24.442673,0.05907908660066469
23,5--10,47.392119,30.804303,0.11498679873316198
24,5--15,45.038521,24.534205,0.11457010097010423
25,5--20,37.074261,17.145019,0.011499051592983256
26,5--25,48.680266,27.623659,0.1378027294610465
27,5--30,38.731940,18.238495,0.03331219570552041
28,5--35,41.593951,22.111502,0.0836982541476129
29,5--40,50.898644,28.500235,0.158046152295107
30,5--45,41.955409,24.731190,0.0978724966384974
31,5--50,47.991799,26.240672,0.14526651106534283
32,5--55,45.303626,24.101296,0.12633634975999058
33,5--60,45.373856,23.412495,0.12686295961627714
34,5--65,46.033664,25.181479,0.13793726667842932
35,5--70,49.109410,24.513394,0.15438862012065696
36,5--75,46.121331,21.657084,0.12491688205957208
37,5--80,52.432121,25.694782,0.16895086495414025
38,5--85,52.143834,26.443453,0.17348679069558176
39,5--90,42.781300,20.185029,0.09587945426736022
40,5--95,50.099583,24.171017,0.16496336823115726
41,10--0,0.018095,-0.004164,-4.518191460572636
42,10--5,41.664934,23.861942,0.012673763251819292
43,10--10,35.608527,20.515617,0.021434209727589526
44,10--15,42.638940,26.835728,0.10304074956597326
45,10--20,50.015376,30.300605,0.12139604578406804
46,10--25,43.819268,24.213935,0.10481529425523312
47,10--30,54.027998,33.913380,0.0969398739185448
48,10--35,48.045385,27.113484,0.14090590154300958
49,10--40,43.521638,21.823356,0.10268180533959442
50,10--45,49.690929,27.527384,0.15523198903341456
51,10--50,51.692738,28.872186,0.1614681022796402
52,10--55,53.038749,31.148760,0.14922789868398328
53,10--60,51.217160,29.668941,0.15374198563254787
