TrialNumber,Parameters,Sensor Latitude MSE,R2
1,0--45,0.040643591,0.19579928
2,0--50,0.040717826,0.194330425
3,0--55,0.040362155,0.201367972
4,0--60,0.040625004,0.196167058
5,0--65,0.040636129,0.195946938
6,0--70,0.04070977,0.194489824
7,0--75,0.040723597,0.194216228
8,0--80,0.04041065,0.200408402
9,0--85,0.039342921,0.221535189
10,0--90,0.03938074,0.220786873
11,0--95,0.040048752,0.207569154
12,0--100,0.039880369,0.2109009
13,0--105,0.039163165,0.225091957
14,0--110,0.039936145,0.209797274
15,0--115,0.039379332,0.220814733
16,0--120,0.03952279,0.217976179
17,0--125,0.039116927,0.226006863
18,5--45,0.038671575,0.234818891
19,5--50,0.038445054,0.239300974
20,5--55,0.038754335,0.233181334
21,5--60,0.04729672,0.06415612
22,5--65,0.039366224,0.221074111
23,5--70,0.038550255,0.237219411
24,5--75,0.040517731,0.198289625
25,5--80,0.038284437,0.242479051
26,5--85,0.038938903,0.229529365
27,5--90,0.039484686,0.218730145
28,5--95,0.038431616,0.23956687
29,5--100,0.037090546,0.266102157
30,5--105,0.042952588,0.150111952
31,5--110,0.036865786,0.270549416
32,5--115,0.036628209,0.275250272
33,5--120,0.035578139,0.296027645
34,5--125,0.035951199,0.288646019
35,10--45,0.040373758,0.201138386
36,10--50,0.039733392,0.213809077
37,10--55,0.039951785,0.209487814
38,10--60,0.039334851,0.221694877
39,10--65,0.03934983,0.221398479
40,10--70,0.039592013,0.216606502
41,10--75,0.039613155,0.216188161
42,10--80,0.041464756,0.179551185
43,10--85,0.039167592,0.225004373
44,10--90,0.03785745,0.2509277
45,10--95,0.045083772,0.107942956
46,10--100,0.042697422,0.155160832
47,10--105,0.039377724,0.220846569
48,10--110,0.039655107,0.215358075
49,10--115,0.041239354,0.184011135
50,10--120,0.038976544,0.228784575
51,10--125,0.036352957,0.280696577
52,15--45,0.039956056,0.209403299
53,15--50,0.040911958,0.190489199
54,15--55,0.040124763,0.206065155
55,15--60,0.039358879,0.221219438
56,15--65,0.040234937,0.203885189
57,15--70,0.038518977,0.237838293
58,15--75,0.039247404,0.223425162
59,15--80,0.039531959,0.217794761
60,15--85,0.039472236,0.218976487
61,15--90,0.038929389,0.229717615
62,15--95,0.038015824,0.247794
63,15--100,0.040340415,0.201798132
64,15--105,0.038392679,0.240337306
65,15--110,0.039061381,0.227105929
66,15--115,0.041360451,0.18161502
67,15--120,0.039315929,0.222069274
68,15--125,0.038139059,0.245355588
69,20--45,0.040798577,0.192732624
70,20--50,0.039825567,0.211985252
71,20--55,0.041717038,0.174559352
72,20--60,0.040107074,0.206415164
73,20--65,0.040095328,0.20664757
74,20--70,0.040332093,0.201962789
75,20--75,0.039760168,0.213279268
76,20--80,0.040308865,0.202422394
77,20--85,0.039003847,0.228244338
78,20--90,0.040083142,0.206888703
79,20--95,0.039163586,0.225083635
80,20--100,0.039325873,0.221872515
81,20--105,0.038151051,0.245118324
82,20--110,0.03898729,0.228571936
83,20--115,0.037762124,0.252813876
84,20--120,0.040096308,0.206628195
85,20--125,0.038769777,0.232875794
