TrialNumber,Parameters,Sensor Longitude MSE,R2
1,0--80,0.041341116,0.21576468
2,0--85,0.041470036,0.213319091
3,0--90,0.040928219,0.223597284
4,0--95,0.040842989,0.225214074
5,0--100,0.040808675,0.22586501
6,0--105,0.04084002,0.225270403
7,0--110,0.041266133,0.2171871
8,0--115,0.0414619,0.213473432
9,0--120,0.040889164,0.224338142
10,0--125,0.040714785,0.227646084
11,5--80,0.041892489,0.205305218
12,5--85,0.042216172,0.19916499
13,5--90,0.043043614,0.183468519
14,5--95,0.042752683,0.18898745
15,5--100,0.042078783,0.201771237
16,5--105,0.042447838,0.194770318
17,5--110,0.045980228,0.127761367
18,5--115,0.043052091,0.183307718
19,5--120,0.044655293,0.152895194
20,5--125,0.04310207,0.182359626
21,10--80,0.041795306,0.207148753
22,10--85,0.041648167,0.209939964
23,10--90,0.042582965,0.19220697
24,10--95,0.04095878,0.223017539
25,10--100,0.041918203,0.204817418
26,10--105,0.0425914,0.192046956
27,10--110,0.04206835,0.201969158
28,10--115,0.042393005,0.195810498
29,10--120,0.042053018,0.20226
30,10--125,0.043357569,0.177512847
31,15--80,0.040499217,0.231735389
32,15--85,0.040940159,0.223370779
33,15--90,0.041008535,0.222073687
34,15--95,0.040833237,0.225399067
35,15--100,0.041702711,0.208905263
36,15--105,0.04185736,0.20597161
37,15--110,0.044083438,0.163743215
38,15--115,0.041661799,0.209681375
39,15--120,0.046891403,0.110476496
40,15--125,0.043118611,0.182045849
41,20--80,0.042006858,0.20313564
42,20--85,0.040079797,0.239691727
43,20--90,0.040142187,0.238508202
44,20--95,0.041098697,0.220363338
45,20--100,0.040858398,0.224921773
46,20--105,0.040954285,0.223102815
47,20--110,0.040876015,0.224587585
48,20--115,0.041812427,0.206823965
49,20--120,0.04101072,0.222032251
50,20--125,0.041418889,0.214289334
51,25--80,0.042266951,0.19820171
52,25--85,0.039900712,0.243088943
53,25--90,0.04069048,0.22810715
54,25--95,0.04080964,0.225846704
55,25--100,0.041815234,0.20677072
56,25--105,0.041044589,0.221389749
57,25--110,0.040862628,0.22484154
58,25--115,0.040580943,0.230185057
59,25--120,0.040786884,0.226278382
60,25--125,0.040903171,0.224072436
