TrialNumber,Parameters,Sensor Tickets MSE,R2
1,0--0,0.022237243,-1.159938587
2,0--5,0.010863457,-0.055184795
3,0--10,0.010697442,-0.039059415
4,0--15,0.01048981,-0.018891791
5,0--20,0.010393458,-0.00953302
6,0--25,0.010472537,-0.017214082
7,0--30,0.010536719,-0.023448208
8,0--35,0.010392176,-0.009408468
9,0--40,0.010521857,-0.022004644
10,0--45,0.010303049,-0.000751423
11,0--50,0.010195993,0.009647039
12,0--55,0.010170104,0.012161672
13,0--60,0.010253109,0.004099276
14,0--65,0.010422627,-0.012366269
15,0--70,0.010268046,0.002648477
16,0--75,0.010438202,-0.013879068
17,0--80,0.010171473,0.012028772
18,0--85,0.010617545,-0.031298899
19,0--90,0.010190837,0.010147929
20,0--95,0.010176682,0.011522799
21,5--0,0.019222275,-0.867089956
22,5--5,0.010528316,-0.022631969
23,5--10,0.010762449,-0.045373678
24,5--15,0.010393578,-0.009544711
25,5--20,0.010255905,0.003827681
26,5--25,0.010193151,0.009923138
27,5--30,0.010193914,0.009848998
28,5--35,0.010303196,-0.000765676
29,5--40,0.010171629,0.012013559
30,5--45,0.010340633,-0.004402016
31,5--50,0.010071658,0.021723892
32,5--55,0.011088615,-0.077054711
33,5--60,0.010283995,0.001099284
34,5--65,0.010078259,0.021082806
35,5--70,0.011669739,-0.133500213
36,5--75,0.010247687,0.004625999
37,5--80,0.010094214,0.019533041
38,5--85,0.010326967,-0.003074608
39,5--90,0.010312607,-0.001679835
40,5--95,0.010154269,0.013699744
41,10--0,0.018987533,-0.844289127
42,10--5,0.010734587,-0.042667435
43,10--10,0.010780635,-0.04714009
44,10--15,0.010357476,-0.006038038
45,10--20,0.010347777,-0.005095962
46,10--25,0.010409392,-0.011080671
47,10--30,0.010712747,-0.0405461
48,10--35,0.010351946,-0.005500909
49,10--40,0.010667764,-0.036176822
50,10--45,0.010188605,0.010364637
51,10--50,0.010239688,0.005402924
52,10--55,0.01030985,-0.001412027
53,10--60,0.010141014,0.014987316
54,10--65,0.010142479,0.014845018
55,10--70,0.010139464,0.015137819
56,10--75,0.010309177,-0.001346715
57,10--80,0.011257635,-0.093471874
58,10--85,0.010244115,0.004972925
59,10--90,0.010458406,-0.015841503
60,10--95,0.010183683,0.010842756
61,15--0,0.020149452,-0.9571481
62,15--5,0.010669041,-0.036300786
63,15--10,0.010443375,-0.014381514
64,15--15,0.010409605,-0.011101418
65,15--20,0.010569418,-0.026624267
66,15--25,0.010230504,0.006294989
67,15--30,0.010224955,0.00683399
68,15--35,0.010162253,0.012924341
69,15--40,0.010150916,0.014025448
70,15--45,0.010607126,-0.030286945
71,15--50,0.010215329,0.007768941
72,15--55,0.010781244,-0.047199255
73,15--60,0.010158505,0.01328831
74,15--65,0.010278069,0.001674858
75,15--70,0.010172534,0.011925726
76,15--75,0.010097308,0.019232514
77,15--80,0.010182438,0.010963694
78,15--85,0.010202805,0.008985404
79,15--90,0.010107102,0.018281206
80,15--95,0.010124937,0.016548868
81,20--0,0.015638755,-0.519017003
82,20--5,0.010857832,-0.054638351
83,20--10,0.010589251,-0.028550653
84,20--15,0.011096862,-0.077855759
85,20--20,0.01029592,-5.90E-05
86,20--25,0.010501349,-0.020012677
87,20--30,0.010469433,-0.016912626
88,20--35,0.010190033,0.010225984
89,20--40,0.010343036,-0.004635466
90,20--45,0.010153726,0.013752534
91,20--50,0.010126861,0.016361927
92,20--55,0.010280799,0.001409771
93,20--60,0.010284513,0.001048957
94,20--65,0.010092393,0.019709903
95,20--70,0.010164773,0.012679475
96,20--75,0.01025152,0.004253631
97,20--80,0.010331921,-0.003555847
98,20--85,0.010090146,0.019928115
99,20--90,0.010180532,0.01114883
100,20--95,0.010350148,-0.005326273
101,25--0,0.018580708,-0.804773509
102,25--5,0.010968366,-0.065374768
103,25--10,0.010634926,-0.032987141
104,25--15,0.01043197,-0.013273745
105,25--20,0.010367486,-0.00701028
106,25--25,0.010398805,-0.010052346
107,25--30,0.010288795,0.000633063
108,25--35,0.010151054,0.014012058
109,25--40,0.010175155,0.011671065
110,25--45,0.010623569,-0.03188402
111,25--50,0.010206372,0.008638942
112,25--55,0.010055893,0.023255166
113,25--60,0.010128319,0.016220377
114,25--65,0.010207592,0.00852041
115,25--70,0.010183683,0.010842716
116,25--75,0.010193723,0.009867604
117,25--80,0.010291498,0.000370476
118,25--85,0.010098193,0.019146568
119,25--90,0.010351885,-0.005495005
120,25--95,0.010216779,0.007628129
121,30--0,0.024740156,-1.403050519
122,30--5,0.011096233,-0.077794631
123,30--10,0.010442939,-0.01433922
124,30--15,0.010700525,-0.039358926
125,30--20,0.010408005,-0.010945975
126,30--25,0.010281912,0.001301624
127,30--30,0.010265674,0.002878844
128,30--35,0.010313134,-0.001730994
129,30--40,0.01037371,-0.007614839
130,30--45,0.010089584,0.019982727
131,30--50,0.010348428,-0.005159194
132,30--55,0.010315897,-0.00199942
133,30--60,0.01016519,0.012639014
134,30--65,0.010124686,0.01657325
135,30--70,0.010132798,0.015785341
136,30--75,0.010078462,0.021062999
137,30--80,0.010162621,0.012888591
138,30--85,0.010126228,0.016423428
139,30--90,0.010128485,0.016204281
140,30--95,0.01040732,-0.010879464
141,35--0,0.016485717,-0.601283762
142,35--5,0.010818505,-0.05081851
143,35--10,0.01069698,-0.039014616
144,35--15,0.010413291,-0.011459381
145,35--20,0.010430925,-0.013172198
146,35--25,0.01033144,-0.003509156
147,35--30,0.010318881,-0.002289201
148,35--35,0.010191935,0.010041262
149,35--40,0.010181269,0.011077228
150,35--45,0.010167426,0.012421816
151,35--50,0.010145295,0.014571416
152,35--55,0.010424412,-0.012539627
153,35--60,0.010251438,0.00426161
154,35--65,0.010375652,-0.007803509
155,35--70,0.010621202,-0.031654181
156,35--75,0.010227416,0.006594871
157,35--80,0.01019372,0.009867868
158,35--85,0.010096116,0.019348301
159,35--90,0.010126833,0.016364655
160,35--95,0.01009115,0.019830671
161,40--0,0.017022371,-0.653409831
162,40--5,0.011306435,-0.098211921
163,40--10,0.010640218,-0.033501168
164,40--15,0.010696344,-0.03895279
165,40--20,0.010510951,-0.020945309
166,40--25,0.010390754,-0.009270375
